Date,AAPL,AMZN,CVX,GOOGL,GS,HD,JPM,META,MSFT,NVDA,UNH,XOM
2020-01-03,-0.009721613373685933,-0.012139034655920922,-0.003458849458504387,-0.005231191154298376,-0.011693358616814975,-0.0033234544392606313,-0.013196694793280228,-0.005291144925117064,-0.012451547370383453,-0.016006049716737025,-0.010119271581268796,-0.008039526670935104
2020-01-06,0.00796792738436336,0.01488557393050649,-0.003388070616836547,0.026653965692680526,0.010233840736221245,0.004704985256360761,-0.0007948791918762632,0.018833560470121524,0.002584464495625882,0.0041938431593722125,0.006941768236329526,0.007677966481967058
2020-01-07,-0.004703185698346046,0.0020916204156393725,-0.012769453424416488,-0.0019315190694720874,0.006582761871549492,-0.006546766946432636,-0.017000596176304894,0.002163555383364768,-0.00911756635858163,0.012106526962707864,-0.006036928141640252,-0.008184038965518559
2020-01-08,0.016086335736627877,-0.007808640261289357,-0.011422894615717216,0.007117740690772756,0.009639273911476343,0.014964159584976544,0.007800917553267395,0.010138023528593276,0.01592835414468996,0.0018757253872232482,0.021084602790861773,-0.015080418431805409
2020-01-09,0.021240971913617734,0.0047991747864684076,-0.00161413568850588,0.010497788688641485,0.020356643780161665,0.015329839581390337,0.0036511157791883075,0.014310924610533071,0.012492870221992192,0.010982367364675838,-0.005677911425361115,0.007655733056539438
2020-01-10,0.002260375694822958,-0.009410596802031268,-0.009105694790524366,0.006458822716071122,-0.0020195229299999617,-0.004307469640375428,-0.0099679348641033,-0.0010992516297159138,-0.00462699671026312,0.005349381187816249,0.0030930880841355535,-0.008887600416254915
2020-01-13,0.02136450790413047,0.004322578245699482,0.0018895285119242544,0.007746821809101911,0.012803992625106009,-0.00392476453472157,0.008304471675353975,0.01765569016922175,0.012024396017272565,0.03135240752875612,-0.03144375614658823,0.009545999250022197
2020-01-14,-0.013503148790865671,-0.011558211718052602,-0.003086085198355515,-0.006555221035852488,0.0018354203225801058,-0.0023729957819328407,0.011661865728688436,-0.01284309331686373,-0.007043309477482329,-0.018652179751338704,0.008361058184635839,-0.008596036651185246
2020-01-15,-0.0042856483466562345,-0.003969126548924895,-0.0014617259377706082,0.006018392106478032,-0.0018320577265965587,0.007988953773698126,-0.01498550197319437,0.00954071291772074,0.006476217309691945,-0.006915104095762681,0.02834414011624431,-0.0015895713561001612
2020-01-16,0.012526694096003599,0.00854991102959346,0.006544524405333263,0.007615483505166276,0.018392293860590492,0.018834179934906103,0.00387649487973718,0.002803600669687656,0.018323654089984043,0.013682304421949842,0.014608246647690448,-0.003907846955806038
2020-01-17,0.011070831656231128,-0.00703966144232826,-0.011207305829724956,0.020245885099575922,-0.0010410421812638848,0.013504106454487852,0.006921662254387506,0.0016683594816442326,0.005596710020861817,0.0014062111430264146,-0.00754799071158796,-0.003778383121855744
