,strategy_returns,benchmark_returns
2021-01-04,-0.0008170496837301968,-0.008175712210815736
2021-01-05,-0.0058384967931569,0.013235216233578836
2021-01-06,-0.03142810004147406,0.0020601687554415624
2021-01-07,0.003062335001533717,0.0213615637690034
2021-01-08,-0.0016589951542511083,0.003964632392573747
2021-01-11,-0.002840533643796994,-0.002258561920951835
2021-01-12,-0.007289428323947494,0.003388807421599749
2021-01-13,-0.004242594333203148,0.003953250296426819
2021-01-14,-0.022552538911159548,-0.004055317855901343
2021-01-15,0.01680693532782207,-0.010168578667797487
2021-01-19,-0.002832208045026763,0.010508599035201507
2021-01-20,0.007768151417392344,0.017924539772394454
2021-01-21,0.022977545913044767,0.005474347956257064
2021-01-22,0.007102366583157993,-0.0010702392349743277
2021-01-25,0.00578464076801305,0.0002786995298006967
2021-01-26,0.0003456374222932934,-0.0033592684749825796
2021-01-27,-0.007291053992917684,-0.024660021867605103
2021-01-28,-0.002085735014774326,0.006183613693670736
2021-01-29,0.0017148583892305225,-0.021173763054207123
2021-02-01,0.0017743953823499414,0.01637733773589307
2021-02-02,-0.003673449097766013,0.01622139233945134
2021-02-03,-0.01130772920555223,0.011587904792178277
2021-02-04,-0.003839427667056472,0.007188773788434133
2021-02-05,-0.009195994678892011,0.0034193531228021434
2021-02-08,0.0019685349260444296,0.013169989528044157
2021-02-09,-0.0020221484410443413,-0.0023392715223724083
2021-02-10,0.007952745471163425,0.007825928465931784
2021-02-11,0.013733537908481364,-0.0017002855820141642
2021-02-12,-0.01130472617283304,0.002250199724550465
2021-02-16,-0.009283405574762482,0.007943504015752084
2021-02-17,-0.006567373103866014,0.004299217097185087
2021-02-18,0.0036862184711524693,-0.004130149200228546
2021-02-19,-0.007222957232488975,-0.003153686145784577
2021-02-22,-0.024508397134075377,-0.005354588922878721
2021-02-23,-0.01698661992825401,0.0019549470991761706
2021-02-24,-0.012381948564593875,0.010225248434383735
2021-02-25,-0.01754597786882317,-0.026532578036319643
2021-02-26,0.02353574326561947,-0.0003001982685406542
2021-03-01,-0.00949724889185205,0.02408994649806249
2021-03-02,-0.006859793801947428,-0.00948642780732073
2021-03-03,-0.020870447793196856,-0.011018338000082931
2021-03-04,-0.02057394990411124,-0.0039966049852611
2021-03-05,-0.005609905416779248,0.019300077198407577
2021-03-08,-0.015052176484622065,-0.012648841606425357
2021-03-09,0.031433030498871695,0.019698340333235937
2021-03-10,-0.011365852836427243,0.0068676618126265465
2021-03-11,0.016149578427866212,0.014038299834893528
2021-03-12,-0.004349221064920722,-0.00021758482212671146
2021-03-15,0.01912200518889698,0.0024899343785439267
2021-03-16,0.013364033206530596,0.0013229140993503326
2021-03-17,-0.004548958424978156,0.0032100087411813436
2021-03-18,-0.0021471209501268407,-0.01702356666802418
2021-03-19,0.013054831536173678,0.004523484104385235
2021-03-22,0.015774861564185394,0.0040163269036887035
2021-03-23,0.004295934300541759,-0.003927906871327241
2021-03-24,-0.012804288103110462,-0.004214660466403851
2021-03-25,-0.0008410888313711562,-0.0005976711867371846
2021-03-26,0.0006693740017341132,0.012896149207812901
2021-03-29,0.006025316594356206,0.0017349792744091597
2021-03-30,0.0008354379817556434,-0.0037502335259705644
2021-03-31,0.01704104506789783,0.0048116363876976875
2021-04-01,0.0013124713388193987,0.015115555230013242
2021-04-05,0.011947463098704147,0.013325073364081572
2021-04-06,0.004764225493807563,-0.0044973391694813625
2021-04-07,-0.001573991903468408,0.00989368692861988
2021-04-08,0.006810275883121081,0.0044744254821584934
2021-04-09,0.0014445385503592256,0.009611795194434983
2021-04-12,-0.0030153612487751336,0.0015861623149727906
2021-04-13,0.004674848479658517,0.003997800412793027
2021-04-14,0.00728613164088926,-0.003925295912433485
2021-04-15,0.000809681394040751,0.015714666250472843
2021-04-16,-0.0006598691225764841,0.0012918561907486377
2021-04-19,0.00599122028972604,-0.005337137512574179
2021-04-20,-0.009504656519545934,-0.010645716369218119
2021-04-21,0.002725152264912073,0.007138924934126739
2021-04-22,0.001331500297157534,-0.015464637834016063
2021-04-23,0.005155808622839875,0.0150785382899243
2021-04-26,0.005241171220346619,0.003567075102463522
2021-04-27,0.0007450255517145454,0.0021471580703966153
2021-04-28,-0.0026604091274975428,0.006260022013990378
2021-04-29,-0.01934234963460804,0.0153512521418508
2021-04-30,-0.0023404496587866863,-0.013861193667887609
2021-05-03,0.00010548914858371505,0.004302129766123107
2021-05-04,-0.007696730665986806,-0.007432287145758674
2021-05-05,0.009212293406251126,0.006459998482663265
2021-05-06,0.0009062655285224652,0.011937599211802707
2021-05-07,0.004190415139855935,0.007229501841527579
2021-05-10,0.0009528601426964378,-0.014625709609436516
2021-05-11,-0.0005843221578659963,-0.013037365274704726
2021-05-12,0.003504989028200539,-0.018825904361237406
2021-05-13,-0.001288819326349444,0.008909555930606458
2021-05-14,0.004529300894732219,0.02096008771751781
2021-05-17,0.0011870061866496029,0.0015055203829952568
2021-05-18,0.0009187236996592574,-0.013506251996733618
2021-05-19,-0.005670803368698685,-0.005478538273261048
2021-05-20,0.0010747381688744895,0.009668866778434612
2021-05-21,0.00278132157095784,0.0018478524420858604
2021-05-24,-0.0011902279257171577,0.014888518115743868
2021-05-25,-0.00690942416599713,-0.0024286243319625866
2021-05-26,0.0015249945336279214,0.002916041914075453
2021-05-27,-0.005410858838593963,-0.0020485042268201894
2021-05-28,0.0028567521783100236,0.0029660672574454336
2021-06-01,0.008074288045176764,0.006769554588157728
2021-06-02,0.003343645302461451,0.004598124496192725
2021-06-03,0.004202788503437166,-0.002296929412562524
2021-06-04,0.003543559701276039,0.010700964968858464
2021-06-07,-0.005951970020953906,-0.0006944697799969035
2021-06-08,0.0008354333635589017,0.0019733909316367406
2021-06-09,0.0049540571539087586,-0.002524862395593482
2021-06-10,-0.010241317413232365,0.001830313220328968
2021-06-11,0.004113513893979098,0.0020263546505157235
2021-06-14,-0.00023986187487934352,0.0037935394031425596
2021-06-15,-0.00036103192135475415,-0.00014620032565173155
2021-06-16,0.00798499406711961,-0.0028270961190006625
2021-06-17,-0.007632490438835099,0.0008518924009538279
2021-06-18,-0.005775546472221088,-0.016088654712549045
2021-06-21,0.003651550072338694,0.014510936584554482
2021-06-22,-0.006056407531090768,0.010599352749428395
2021-06-23,0.0016199061166091433,0.0016152340566873054
2021-06-24,0.002751926372848379,0.00480571137555764
2021-06-25,-0.0006650189724498323,-0.00015070929120838036
2021-06-28,-0.007873005189996896,0.005823267711218411
