Date,AAPL,AMZN,CVX,GOOGL,GS,HD,JPM,META,MSFT,NVDA,UNH,XOM
2020-01-02,72.4005126953125,94.90049743652344,92.0177230834961,67.8730239868164,202.11892700195312,188.7276611328125,118.43034362792969,208.1465606689453,152.1584014892578,5.9707536697387695,263.1968688964844,53.30641555786133
2020-01-03,71.69666290283203,93.74849700927734,91.69944763183594,67.5179672241211,199.75547790527344,188.10043334960938,116.8674545288086,207.04522705078125,150.2637939453125,5.875185489654541,260.53350830078125,52.87785720825195
2020-01-06,72.26793670654297,95.14399719238281,91.38876342773438,69.31758880615234,201.79974365234375,188.98544311523438,116.7745590209961,210.9446258544922,150.6521453857422,5.899825096130371,262.3420715332031,53.283851623535156
2020-01-07,71.92804718017578,95.34300231933594,90.2217788696289,69.18370056152344,203.12814331054688,187.74819946289062,114.78932189941406,211.40101623535156,149.278564453125,5.971251487731934,260.7583312988281,52.847774505615234
2020-01-08,73.0851058959961,94.59850311279297,89.1911849975586,69.67613220214844,205.08615112304688,190.5576934814453,115.68478393554688,213.54420471191406,151.6563262939453,5.982451915740967,266.2563171386719,52.05080795288086
2020-01-09,74.63750457763672,95.05249786376953,89.0472183227539,70.40757751464844,209.26101684570312,193.47891235351562,116.10716247558594,216.6002197265625,153.5509490966797,6.048153400421143,264.7445373535156,52.44929504394531
2020-01-10,74.80621337890625,94.15799713134766,88.23638153076172,70.8623275756836,208.83840942382812,192.6455078125,114.94981384277344,216.36212158203125,152.84046936035156,6.080507278442383,265.56341552734375,51.98314666748047
2020-01-13,76.40441131591797,94.56500244140625,88.40310668945312,71.41128540039062,211.5123748779297,191.88941955566406,115.90441131591797,220.18214416503906,154.67828369140625,6.271145820617676,257.2131042480469,52.47937774658203
2020-01-14,75.37271118164062,93.47200012207031,88.13028717041016,70.94316864013672,211.9005889892578,191.43406677246094,117.25607299804688,217.3543243408203,153.58883666992188,6.154175281524658,259.3636779785156,52.028263092041016
2020-01-15,75.04969024658203,93.10099792480469,88.00146484375,71.37013244628906,211.5123748779297,192.9634246826172,115.49893188476562,219.42803955078125,154.58351135253906,6.111618518829346,266.7151184082031,51.945560455322266
2020-01-16,75.98981475830078,93.89700317382812,88.577392578125,71.91365051269531,215.40257263183594,196.5977325439453,115.94666290283203,220.04322814941406,157.41604614257812,6.195239543914795,270.6113586425781,51.7425651550293
2020-01-17,76.83108520507812,93.23600006103516,87.58467864990234,73.3696060180664,215.17832946777344,199.2526092529297,116.74920654296875,220.41033935546875,158.29705810546875,6.203951358795166,268.56878662109375,51.547061920166016
2020-01-21,76.31039428710938,94.5999984741211,85.8645248413086,73.5049819946289,211.93504333496094,200.1461181640625,115.60029602050781,219.71578979492188,157.7285919189453,6.170601844787598,270.42236328125,50.810245513916016
2020-01-22,76.58280181884766,94.37300109863281,85.55381774902344,73.58531188964844,213.09951782226562,200.10316467285156,115.46512603759766,219.59671020507812,156.97076416015625,6.224606990814209,270.4763488769531,50.51704406738281
2020-01-23,76.95162200927734,94.22899627685547,85.70538330078125,73.6259765625,211.83152770996094,200.74757385253906,115.34685516357422,218.04884338378906,157.9370574951172,6.293046474456787,269.4595947265625,50.20124053955078
2020-01-24,76.7298355102539,93.08200073242188,84.7581558227539,72.70757293701172,208.67449951171875,199.32994079589844,112.48302459716797,216.24302673339844,156.3455352783203,6.233814716339111,263.475830078125,49.8629150390625
2020-01-27,74.47359466552734,91.41699981689453,83.65180206298828,70.99968719482422,205.41392517089844,198.6339874267578,111.5368881225586,213.19692993164062,153.73094177246094,5.977972030639648,255.62942504882812,48.674983978271484
2020-01-28,76.58039855957031,92.6624984741211,84.2049789428711,71.93050384521484,209.2437744140625,200.92800903320312,113.5643539428711,216.09420776367188,156.74342346191406,6.171347618103027,257.2310791015625,48.607330322265625
2020-01-29,78.18339538574219,92.9000015258789,83.63662719726562,72.23794555664062,207.12185668945312,201.0655059814453,113.39542388916016,221.49185180664062,159.18751525878906,6.110872268676758,254.55857849121094,48.201324462890625
2020-01-30,78.07010650634766,93.53399658203125,84.4171371459961,72.11646270751953,210.58079528808594,200.00865173339844,114.79773712158203,207.89854431152344,163.6777801513672,6.117588996887207,252.83094787597656,48.712581634521484
2020-01-31,74.60857391357422,100.43599700927734,81.18899536132812,71.05175018310547,205.07752990722656,195.97914123535156,111.815673828125,200.33787536621094,161.26211547851562,5.884146690368652,245.15554809570312,46.70513916015625
2020-02-03,74.4036865234375,100.20999908447266,80.53730010986328,73.52233123779297,206.16441345214844,198.93470764160156,112.66889190673828,202.60009765625,165.1935272216797,5.981207847595215,246.56822204589844,45.66005325317383
2020-02-04,76.86000061035156,102.4834976196289,80.96923828125,71.67807006835938,208.69174194335938,201.907470703125,114.29088592529297,208.19619750976562,170.63108825683594,6.1504411697387695,252.70501708984375,45.08865737915039
2020-02-05,77.48675537109375,101.99349975585938,83.56842803955078,71.7098159790039,210.72743225097656,204.5795440673828,116.23387145996094,208.47401428222656,170.42271423339844,6.240783214569092,266.1033020019531,47.16376876831055
2020-02-06,78.39309692382812,102.5114974975586,82.96977233886719,73.19355773925781,208.58824157714844,205.20672607421875,116.2507553100586,209.20823669433594,173.95623779296875,6.327641010284424,263.16082763671875,46.52469253540039
2020-02-07,77.32754516601562,103.96399688720703,82.5530014038086,73.3492660522461,205.2931671142578,203.88363647460938,115.8790512084961,210.67672729492188,174.20248413085938,6.261441230773926,260.2453918457031,46.216426849365234
2020-02-10,77.6948013305664,106.69550323486328,83.19712829589844,74.81465148925781,204.74111938476562,206.7274627685547,116.36062622070312,211.40101623535156,178.7591094970703,6.544659614562988,258.2748107910156,45.72832489013672
2020-02-11,77.22604370117188,107.54000091552734,84.27316284179688,74.88408660888672,203.96481323242188,207.6124267578125,116.58023071289062,205.5767364501953,174.72352600097656,6.6671061515808105,261.6582336425781,46.16304397583008
