,momentum_12_1,short_term_reversal,low_volatility
2021-01-04,-0.006743900033117145,-0.0005054590002810944,-0.009384385470715545
2021-01-05,-0.010752774724364367,-0.004780489089785955,-0.016547613173086284
2021-01-06,-0.03538782923101638,-0.010714174166365498,-0.019479427228447255
2021-01-07,0.013221235951396237,-0.009939900160509219,0.002759600165774978
2021-01-08,-0.004799509752305142,0.0007568312834339563,-0.0009829587099091097
2021-01-11,-0.007904596540183634,-0.005456793058019244,-0.009452829598009943
2021-01-12,-0.01227813800510838,-0.007677196119036528,-0.008541585585811473
2021-01-13,0.001902514579613962,-0.006175824250320455,-0.0030012442818974083
2021-01-14,-0.02492204348993382,-0.011456404611058207,-0.02480907600190982
2021-01-15,0.012617282071320735,0.021579131976759564,0.027247171808190057
2021-01-19,-0.006976991121212417,0.0118093465279199,-0.009250468161633885
2021-01-20,0.01212716902947325,0.002080190297493928,0.004307366183803063
2021-01-21,0.028726388874116465,0.0011492541165850911,0.02103191151107006
2021-01-22,0.00038411245474292977,0.00189223110120057,0.00981788560845595
2021-01-25,0.004109899367585601,0.0027121830275604053,0.009967468129880808
2021-01-26,0.00817258975001356,0.0021688804030373376,0.010600759106884294
2021-01-27,-0.01058150791612858,-0.0069469513422965035,-0.000870998805330564
2021-01-28,-0.003269758621737562,0.0042904806778620574,0.0038833642786491596
2021-01-29,0.013750236127389404,6.16863727511685e-05,0.0035561666676134918
2021-02-01,0.0114196543759012,-0.00454298731627753,0.0035992805343766643
2021-02-02,0.0029829061374193055,-0.005950031301096503,-0.004043408299979012
2021-02-03,-0.020737593010392213,0.0020119617660292743,-0.00977391666563343
2021-02-04,-0.0010447871208707493,-0.006854692889224828,-0.001688400650809052
2021-02-05,-0.008862991743172288,0.002533458494866747,-0.008878220438878703
2021-02-08,-0.003563059692614945,-0.0063071480755717835,-0.015650901601114375
2021-02-09,-3.928390143162486e-05,0.0011664365143591593,0.0027790731385795298
2021-02-10,0.0006807768607708098,0.0019407784128568917,-0.005947077431488534
2021-02-11,0.013988818985309542,-0.0007326764148047615,0.007868040835347312
2021-02-12,-0.008402496915370677,-0.0032440933975582675,-0.003933467196619245
2021-02-16,-0.007146714943135901,0.0007201697187905753,-0.015870750240140397
2021-02-17,-0.01526390360527527,0.008441155292144648,-0.0052707209266452115
2021-02-18,0.006512802371227561,0.002504967083587356,0.007799772195303756
2021-02-19,-0.008027335040563022,-0.01520090958333356,-0.009690941198478659
2021-02-22,-0.030851669518855457,0.0018955756547282265,-0.026062540445861815
2021-02-23,-0.009244598430622725,-0.004060930654542966,-0.01572879029885718
2021-02-24,-0.013153130289790094,-0.016197274788238902,-0.022156585001013474
2021-02-25,-0.02217688798266934,-0.0027649422876674656,-0.00399748462233207
2021-02-26,0.022543430072391513,0.011660196306278015,0.018699722360798643
2021-03-01,-0.00783866974015196,-0.012397866199540752,-0.006379376969419648
2021-03-02,-0.011459409746875232,-0.0023977591294632172,-0.00400277482177494
2021-03-03,-0.023262594771395168,-0.0028019000437855546,-0.01437234340222257
2021-03-04,-0.022648231762131432,0.003732128989569844,-0.019040892436560763
2021-03-05,-0.016452735910015726,0.007796504652116315,-0.012268592455658367
2021-03-08,-0.02293462453927203,0.0021583963996789357,-0.0005849975039237676
2021-03-09,0.033905450327726544,0.008467003144502772,0.01717873270809836
2021-03-10,-0.013408430858802861,-0.004360472336589011,-0.010617418658373845
2021-03-11,0.01737212724962653,0.006741773457121791,0.009782914615268118
2021-03-12,-0.008103905591183153,-0.004047370113150678,-0.0010261805298627247
2021-03-15,0.015197148039122477,0.005827083096390406,0.013292851747715606
2021-03-16,0.013938253548667873,0.008177080740083886,0.017482103538213473
2021-03-17,0.0024823516787778055,0.0016594112145328077,-0.004526940803678131
2021-03-18,-0.00035620904873551185,0.004315634542654767,0.015957066336247633
2021-03-19,0.009484905269598803,0.01940397568161803,0.008028442484808551
2021-03-22,0.014144468392330134,-0.0007292881601339285,0.010580980020140324
2021-03-23,0.004425282891913379,0.005713656124586186,0.007059277737022751
2021-03-24,-0.02396352594103232,0.0024342144612448657,-0.01160651171813848
2021-03-25,-0.005609110396140621,-0.0017157057314360624,0.0002968305239833824
2021-03-26,-0.006006251930720519,0.010520710278307671,-0.0025106011341741175
2021-03-29,0.006709225278467179,0.006461483212737762,9.764434041020786e-06
2021-03-30,0.0022686807303681222,-0.002008104342792083,0.00397192142838701
2021-03-31,0.01891173941021823,0.005102092082452214,0.01106242920201006
2021-04-01,0.004812326778441067,0.003324161436134787,-0.0002510216310471769
2021-04-05,0.01518811220579902,0.012028622121580262,0.019954979278986262
2021-04-06,0.008543328508304804,0.005440582596533933,-0.0022477970862667396
2021-04-07,0.003130115003914802,-0.003812032512454322,-0.00636781539722947
2021-04-08,0.0072672212017128035,-0.0006046106048553657,0.0005949962884090054
2021-04-09,-0.006820228582028243,-0.004198792566970533,0.010765026051846038
2021-04-12,-0.0037381881001003203,-0.0013628045830180735,-0.01118115982075324
2021-04-13,0.004429224384713437,-0.0004557352301330364,-0.010166490390888766
2021-04-14,0.0009306096239917461,0.018974241163811773,-0.0003494283615647631
2021-04-15,-0.004633010032005613,-0.00535008615218191,-0.0008991162377555706
2021-04-16,-0.0026328381402251633,-0.0014318983776844263,0.009663257068269843
2021-04-19,0.003522056214409791,0.003929697778241897,0.0077617009264625
2021-04-20,-0.013455649371915457,-0.01156436429488314,0.010447281251212748
2021-04-21,0.0003130075388730891,0.005203019957402022,-0.003355763029047165
2021-04-22,-0.0013505588715845007,0.0009937712277309219,0.006696825798966882
2021-04-23,0.006665967045949961,0.0020032289204783837,-0.004076730226166614
2021-04-26,0.009605892834404495,0.004991646177454817,-0.009768577996090988
2021-04-27,0.002041109114616413,0.00463496009155806,-0.002113164086293695
2021-04-28,0.00018983025829485967,0.006380707695176985,-0.006456726139873303
2021-04-29,-0.005508931116196103,-0.015584547659428627,0.00445569281794278
2021-04-30,-0.003989379954065425,-0.005767790957943247,0.009358147929880906
2021-05-03,-0.006267962053199516,0.004952438663788611,0.005525280167271052
2021-05-04,-0.014317814055046146,0.0027221244587540827,0.011851148350963459
2021-05-05,0.0058844679209336115,0.016241679633041906,-0.009222466593496015
2021-05-06,0.0033773255696449844,8.387177343788244e-05,0.0021670906272321377
2021-05-07,0.0018414734375334363,0.006432842628479651,-0.005702252973383115
2021-05-10,-0.011258284877982416,0.008004644617907647,0.011940635668667543
2021-05-11,0.005331854960776261,-0.0066816168438202095,-0.005884407674496744
2021-05-12,0.004102960947064832,0.011079401420936552,-0.0059395991714464025
2021-05-13,-0.0010169821457887696,-0.00885024162295786,0.013383550992356302
2021-05-14,0.012517166791408407,0.005765438163911063,-0.017383372231129457
2021-05-17,0.0015208552094953809,0.009343325147596115,-0.007991483412620237
2021-05-18,-0.0045105290842105406,-0.003344859914250764,0.00824174835892838
2021-05-19,-0.0022070040902321952,-0.011349088807991792,0.002755455107275817
2021-05-20,0.005601926297795934,-0.004771707192712971,-0.00849663424074093
2021-05-21,-0.0009153331398612519,0.00681313894262342,-0.005102079385143121
2021-05-24,0.005863341646581616,-0.0015913132364462346,-0.014420066657505531
2021-05-25,-0.0057534977648462104,-0.01217786178061267,0.007883475617984026
2021-05-26,0.001329121550753043,0.004541554399167119,-0.0031982456080822397
2021-05-27,-0.0012187204746204883,-0.003928497484392085,0.005813563628377927
2021-05-28,0.00030901820027567917,0.0033827253819702086,-0.011762595450934527
2021-06-01,0.011534421633189018,0.017687816177523547,-0.014453386119485934
2021-06-02,0.003893681077428768,0.003759437149305961,-0.01155247558277589
2021-06-03,0.0005408274875018104,0.008225847762386274,-0.003974981472094102
2021-06-04,0.008270104036692622,-0.00010864563325194143,-0.011826539346327242
2021-06-07,0.0020847210404355554,-0.007599073385050309,-0.003118261668918515
2021-06-08,-0.002249310234113483,0.0035899257458091305,-0.00043504910445246736
2021-06-09,0.0027825572352669636,0.006277234110594027,-0.00399615937909098
2021-06-10,-0.008811530838818332,-0.007836521380929079,-0.00032823928788339174
2021-06-11,0.005452894509092726,-0.0006552906829450089,-0.0036786547720831786
2021-06-14,0.0031204632417758393,-0.006786505641933255,-0.0026801442508800344
2021-06-15,-0.001077201740756789,0.010351064198592969,-0.007526262871405787
2021-06-16,0.0056677473560382,0.0061074151568119295,-0.004298192491758029
2021-06-17,-0.003594997938617117,-0.01901180678377601,-0.003316336021672639
2021-06-18,-0.006740970862739698,-0.009664873923121792,0.002116227019072381
2021-06-21,5.9827671718248876e-05,0.00918981143449571,0.003480801431668068
2021-06-22,-0.0013748046040245043,-0.0044377886913631315,-0.006484692699326111
2021-06-23,0.004733001607463011,0.003984462683153084,-0.006893039846610632
2021-06-24,0.002561091135768412,0.004305645263090907,-0.0007280063206415166
2021-06-25,-0.005794579194351668,0.00043954639865165235,0.006974848968575559
2021-06-28,0.0047325267376088775,-0.017388776395552696,-0.007789239014585392
2021-06-29,0.0044684582933729455,0.0005897705259667596,0.002082839221875382
2021-06-30,0.003811224685683179,0.008931627445954937,0.00044636837981268385
2021-07-01,-0.007280274113082852,-0.009157518930196229,0.0015239104792653668
2021-07-02,0.0006837453506609859,-0.0020295843670897207,0.0006161570569861163
2021-07-06,-0.01881192712396429,-0.013331699668617802,-0.0033430446305271477
2021-07-07,-0.004648174184087223,-0.0017291794180815945,0.00972706568288223
2021-07-08,-0.010363375722123369,-0.002193973859092868,0.004351426617031889
2021-07-09,0.017269091814924725,0.011812479039817914,-0.0011994702928495027
2021-07-12,0.01006711191255591,0.004743583732133794,-0.005605911969590871
2021-07-13,-0.007218278950950896,-0.005461034404709769,0.001814703281869362
2021-07-14,-0.0035568741995312403,-0.0028838734496653418,0.007651283170287709
2021-07-15,0.0045842932551972415,0.011997866838427823,0.019241832668181608
2021-07-16,-0.007221433592039639,0.0026992782582073993,0.011894632198244798
2021-07-19,-0.010025541175084668,-0.016826704863146608,-0.013846406039109138
2021-07-20,0.007989909126480899,0.00747649385327398,0.006208564597718846
2021-07-21,0.008548440237990729,0.0018144235763872252,-0.012275692406678418
2021-07-22,-0.011580325326981139,-0.008462375207649836,-0.005040234467356908
2021-07-23,-0.003944528034886069,-0.002119531989736384,-0.0068911716293563186
2021-07-26,0.000495700733615545,0.005563689647995279,-0.002167311903077368
2021-07-27,0.006097788467454429,0.003804678516294041,0.0022196067249205254
2021-07-28,1.431017417580227e-05,-0.0007846057087451119,-0.012458090290529189
2021-07-29,0.006209090546987095,0.0011840344226061172,0.01122592113593221
2021-07-30,0.016538239053028564,-0.002066650155230998,0.004146977722437661
2021-08-02,0.0009893531625399798,-0.0014327446864377535,0.0011269794241229036
2021-08-03,-0.0003483379484934268,0.00029509628829632595,0.007095606286673328
2021-08-04,-0.0029545384942930575,-0.009436727792497879,-0.012698293403348604
2021-08-05,0.003206552477416802,0.0027548108811483174,-0.011316180301265272
2021-08-06,0.018292733094139924,0.02041630337112832,0.0028463207975922833
2021-08-09,0.00218597239779883,0.0019376496049763603,-0.0011997702322035508
2021-08-10,0.01134853208781264,0.013385363124267718,0.007376194105538636
2021-08-11,0.00831603468944972,0.00913588008714794,0.005492308678169716
2021-08-12,-0.0017089111979863292,-0.006160014433093108,-0.007784708314522604
2021-08-13,-0.007240284055570978,-0.009245964711474625,-0.0036558312929765857
2021-08-16,-0.004994637039339389,-0.0035595330119084223,0.008036388134926409
2021-08-17,0.0005221857264908758,0.0026145397828068184,0.003764949434045678
2021-08-18,-0.0014144456009039241,0.005660013364562899,0.0054428333945657215
2021-08-19,-0.009509345212772136,-0.015901066150945803,-0.002338952857315668
2021-08-20,-0.00517663242684302,-0.013220137619441907,-0.009874820931521422
2021-08-23,0.0013349014229734335,-0.009556439449036669,-0.02015385930010158
2021-08-24,0.004585962820430528,0.008004102067214497,-0.0029200381677706166
2021-08-25,0.008946497392403108,0.005230791797841555,-0.009739607925842969
2021-08-26,0.002002293231779667,0.003873362070166503,0.0007793111325185009
2021-08-27,0.003360375447662267,-0.0018083578081729557,-0.009471886219733328
2021-08-30,-0.01622673937363442,-0.015808107275272626,-0.0033603601908657743
2021-08-31,-0.0017916458537142188,0.005797966120089204,0.002219439565594089
2021-09-01,-0.0008186591294837842,-0.002013842266721244,-0.002421807702131018
2021-09-02,0.00337033645500584,0.0002985553017695042,0.011908079851558867
2021-09-03,-0.00450484167594889,-0.00948258923102202,-0.00416077384628824
2021-09-07,-0.002489102206792798,-0.0029320126700649873,-0.003962248454393802
2021-09-08,-0.005536041621935245,0.0017279675622359492,0.005105726036658653
2021-09-09,0.006225465070682945,0.004318147068322203,0.0011659345160537904
2021-09-10,-0.0011813303051475543,0.0013286682107808978,-0.009275434158039025
2021-09-13,0.00733432895054581,0.010205500724589922,0.014267900159605523
2021-09-14,-0.009604179528264062,-0.006390876653147803,-0.00395964148844849
2021-09-15,-0.005406069930105728,-0.0019911624450048016,0.003825729427709895
2021-09-16,-0.004612087759828798,-0.0018782065016192673,0.0035404057719281568
2021-09-17,0.0022872010272224907,0.004492960609196572,0.010889058731036655
2021-09-20,-0.003642256175454245,-0.0016721748626706556,0.007406400287487125
2021-09-21,-0.0010047223521285065,-0.003913128917301806,-0.000772018277709785
2021-09-22,0.005265258321853872,-0.0012023638860058639,0.000873714202131004
2021-09-23,0.009114940671061944,0.004750602103508417,-0.008592175026328225
2021-09-24,0.0017192506826016196,0.006546452736325176,-5.4039175781395166e-06
2021-09-27,0.017537900553593305,0.019176759686950123,0.006119677818179514
2021-09-28,0.007851207066011556,0.0092478202882052,0.010559374141482308
2021-09-29,-0.0024589705579830257,-0.002577084192716822,0.0064282397330271135
2021-09-30,-0.004811775822707198,-0.007957400171686363,-0.014733574674871158
2021-10-01,0.000325087038061167,0.004211069839962278,-0.0006804883338616952
2021-10-04,0.0005589769253936672,-0.020254639837364974,0.00029930432048663747
2021-10-05,0.007459871825463538,0.01063197702903615,0.0004320288972968489
2021-10-06,0.00043492330253058764,0.008742814843885505,0.005827723182167233
2021-10-07,-0.0038133386123588298,-0.004145684772358799,0.0028789887464854558
2021-10-08,0.005779496233166037,-0.009839160290542492,-0.0010472548476228583
2021-10-11,-0.00512584711327696,-0.0036808242477622266,0.001475571536141529
2021-10-12,-0.0042942137228748345,0.0007995956643124524,-0.00063802764886145
2021-10-13,-0.0012662008816949066,-0.00034694574661348065,0.00057269369446597
2021-10-14,0.004199598226768464,6.528228662244784e-05,0.0024051745973627248
2021-10-15,-0.0030043008090718804,0.00241691989154022,0.0020783924216304928
2021-10-18,0.001136692784535931,0.013069696373036399,-0.0034805650211331973
2021-10-19,-0.002031633506092062,-0.0060975765843448715,-0.0038980377954552226
2021-10-20,-0.0032082522882646847,-0.006654813272211929,0.006363473654403595
2021-10-21,-0.005897391634305527,0.008302166946014239,0.004735663705697751
2021-10-22,0.0028164799680629182,-0.01258716225884679,0.0005123852800494322
2021-10-25,-0.0024197847195807365,-0.003797079213335608,-0.010361097784669787
2021-10-26,0.0023030096702297553,-0.01441018644874495,-0.018055801461075716
2021-10-27,0.00510719660950304,0.004135946719922096,0.019074053861338813
2021-10-28,-0.00178205376908247,0.003049147475431113,-0.003718294445688275
