Date,returns,realised_vol,conditional_vol
2024-04-09,-0.035413761203788405,,0.028482751447289765
2024-04-10,0.020739301242534747,,0.029040839318931214
2024-04-11,-0.00749778258451207,,0.027976615485068995
2024-04-12,-0.041748970181434676,,0.026343623902590815
2024-04-13,-0.05152204971523435,,0.02827557528054227
2024-04-14,0.02959850149495867,,0.031325488277986716
2024-04-15,-0.03581099949650861,,0.030688304034568396
2024-04-16,0.0060619201772289105,,0.03086167165198296
2024-04-17,-0.04053958534994488,,0.028808582737054233
2024-04-18,0.03584120208614769,,0.029992425191603157
2024-04-19,0.005195142876912206,,0.0303041753629439
2024-04-20,0.017865871886504233,,0.028305225508467605
2024-04-21,-0.0010436624765665994,,0.027142502304623086
2024-04-22,0.029008901759275917,,0.025510890867265136
2024-04-23,-0.006460398489914604,,0.025874147015749877
2024-04-24,-0.03260630131627199,,0.0245034843058737
2024-04-25,0.0031812827691917772,,0.025531433105920036
2024-04-26,-0.011328935219016097,,0.024140615273802842
2024-04-27,-0.005286917956356649,,0.02321761489502521
2024-04-28,-0.004835296290154387,,0.022202480844703262
2024-04-29,0.011467091787556437,,0.021330401735925944
2024-04-30,-0.051494629716542104,,0.020868851273994564
2024-05-01,-0.040089923480657194,,0.02617400600626558
2024-05-02,0.014814392549697799,,0.027892078932973317
2024-05-03,0.06175720649824811,,0.026595843589370328
2024-05-04,0.015801344389047563,,0.03206958103528176
2024-05-05,0.002183511056964741,,0.03023499180918625
2024-05-06,-0.013667364763724113,,0.028203559194791623
2024-05-07,-0.01318192999564668,,0.026797439224663676
2024-05-08,-0.018569986258493817,0.5297932622176507,0.025570664571224637
2024-05-09,0.02997730860417905,0.5320328215773874,0.02489274946615388
2024-05-10,-0.036456454635488925,0.5371931061869867,0.025498207904800185
2024-05-11,1.5356866757304103e-05,0.5373890182146938,0.02683822479811311
2024-05-12,0.01071136415279376,0.5228613858721293,0.025245558095523635
2024-05-13,0.02337149423787631,0.5001142921282976,0.02412437669278879
2024-05-14,-0.021674038111579395,0.49322694678288775,0.024133540592868204
2024-05-15,0.07380429766149847,0.5447020450272974,0.02397363062339737
