,strategy_returns,position,turnover
2024-12-17,-0.01523166019889934,0.5730019424560132,0.5730019424560132
2024-12-18,-0.04070655654338989,0.5697760888873338,0.0032258535686794376
2024-12-19,-0.029061871438405322,0.5078302412775205,0.061945847609813254
2024-12-20,0.007736148749376193,0.48909205894646024,0.018738182331060282
2024-12-21,-0.020808422454643274,0.5226211449618868,0.03352908601542659
2024-12-22,-0.009451837087355301,0.5236709979689855,0.0010498530070987
2024-12-23,0.022220611398542,0.5381747694129269,0.014503771443941327
2024-12-24,0.011750081387429152,0.5323867020596967,0.00578806735323012
2024-12-25,0.00017354630089140818,0.5432376595206766,0.01085095746097986
2024-12-26,-0.026470600351460292,0.557124331253583,0.013886671732906364
2024-12-27,-0.00039211672279376215,0.5380622142556558,0.019062116997927148
2024-12-28,0.011316708226114571,0.5524320839328581,0.01436986967720233
2024-12-29,-0.008003287830675526,0.5576231454131374,0.005191061480279258
2024-12-30,0.0011506160253573232,0.5638583659092519,0.006235220496114469
2024-12-31,-0.004082943864919847,0.5712488102510798,0.007390444341827895
2025-01-01,0.0036091169720594194,0.5760610976443661,0.004812287393286319
2025-01-02,0.016695112239701815,0.5804069575961254,0.00434585995175929
2025-01-03,0.02484467574061061,0.570751407171237,0.009655550424888415
2025-01-04,0.007956455780090412,0.5497199837593278,0.02103142341190911
2025-01-05,-0.003631485103437759,0.5594432550059162,0.009723271246588339
2025-01-06,0.008465196347556684,0.5692698659818144,0.009826610975898209
2025-01-07,-0.049945910516979025,0.5746384103971459,0.005368544415331522
2025-01-08,-0.008154292128259383,0.489866792285636,0.0847716181115099
2025-01-09,-0.01685847648695624,0.5153248887841556,0.0254580964985196
2025-01-10,0.007751270179334994,0.5236770629143026,0.008352174130146994
2025-01-11,0.002406123949894153,0.5382662339944383,0.014589171080135688
2025-01-12,-0.0027478938674571347,0.5506023340273342,0.01233610003289587
2025-01-13,-0.022793615809374643,0.5589759815739922,0.008373647546658036
2025-01-14,0.015103553055357101,0.545041281434827,0.013934700139165201
2025-01-15,0.0371452947689433,0.5462311674897629,0.0011898860549358625
2025-01-16,-0.02152358446832998,0.5106225765892731,0.035608590900489734
2025-01-17,0.02642760663962891,0.5411842657029738,0.03056168911370072
2025-01-18,-0.026649773968668713,0.5365273548252123,0.004656910877761544
2025-01-19,-0.015738815684202625,0.5291970166052702,0.007330338219942112
2025-01-20,0.011298105932356091,0.5305920138452997,0.0013949972400295607
2025-01-21,0.007999035415733243,0.5354176943297249,0.00482568048442511
2025-01-22,-0.014432188876223773,0.5432800234686846,0.00786232913895979
2025-01-23,0.015762577380314644,0.5485558110633213,0.0052757875946366495
2025-01-24,-0.004194968682853191,0.5532946909188731,0.00473887985555177
2025-01-25,0.001302565115776851,0.5640841007988179,0.010789409879944811
2025-01-26,-0.014428341372675702,0.5819471419831714,0.017863041184353556
2025-01-27,-0.01057934312077243,0.5924928601870073,0.010545718203835874
2025-01-28,-0.01701774903149479,0.5206107942628015,0.07188206592420576
2025-01-29,0.0062996031624704555,0.5454501546263079,0.024839360363506313
2025-01-30,0.0235170416500392,0.5550688992718406,0.009618744645532695
2025-01-31,0.008455893737507549,0.5486153452187038,0.006453554053136745
2025-02-01,-0.03120009713253133,0.5560247736956455,0.007409428476941704
2025-02-02,-0.04370107164015144,0.5233465861440781,0.03267818755156737
2025-02-03,0.002828703185888932,0.5142600030478658,0.009086583096212353
2025-02-04,-0.027524312276585677,0.5170831003649545,0.002823097317088741
2025-02-05,0.009837558148327687,0.515282949205478,0.0018001511594765152
2025-02-06,-0.018784540352158246,0.5174396765695196,0.0021567273640415996
2025-02-07,-0.012919201881673436,0.5182165351696096,0.0007768586000900246
2025-02-08,0.0019964868374168694,0.5199252146620633,0.0017086794924536797
2025-02-09,-0.0007147393987610937,0.5223502788963817,0.0024250642343184303
2025-02-10,0.006433892527805977,0.5246699026123949,0.0023196237160131306
2025-02-11,-0.012931479703091994,0.5804120495110142,0.05574214689861934
2025-02-12,0.02923832937710254,0.581936344743956,0.0015242952329417303
2025-02-13,-0.012301850348247175,0.5441020028828121,0.03783434186114387
2025-02-14,0.010282859196068006,0.5538993550747887,0.009797352191976638
2025-02-15,-0.006779643800262867,0.5638910716212815,0.00999171654649278
2025-02-16,-0.006494648733402814,0.5742507672032481,0.010359695581966588
2025-02-17,0.01720112976936522,0.582314662024879,0.008063894821630946
2025-02-18,-0.01563021608576337,0.5722900021346873,0.010024659890191745
2025-02-19,0.009849107675288321,0.5711900056428965,0.0010999964917908223
2025-02-20,0.005198319119889575,0.5767279965330221,0.0055379908901256325
2025-02-21,-0.017507983666982495,0.5852212454707961,0.008493248937774034
2025-02-22,0.02209460743552969,0.5742761668717822,0.010945078599013947
2025-02-23,0.011411417173846678,0.5571652553892078,0.017110911482574376
2025-02-24,-0.0651190033662747,0.5642408461659005,0.007075590776692731
2025-02-25,-0.003577243181552748,0.4255912798730851,0.13864956629281544
2025-02-26,-0.031864828192482104,0.4732380540466049,0.04764677417351981
2025-02-27,-0.005095336814136026,0.45311463376758043,0.020123420279024473
2025-02-28,-0.014594915407899686,0.489358669689772,0.03624403592219155
2025-03-01,-0.004861183173115593,0.5073405442088268,0.017981874519054808
2025-03-02,0.06790867984106988,0.5301195189659654,0.022778974757138637
2025-03-03,-0.06610318292268208,0.41052288475497284,0.11959663421099259
2025-03-04,0.00272644282231849,0.25447844097751426,0.15604444377745857
2025-03-05,0.010157552084470162,0.3131500311782821,0.05867159020076784
2025-03-06,-0.006576727881500727,0.3669581733521154,0.053808142173833284
2025-03-07,-0.01282404352438341,0.43606704764309073,0.06910887429097534
2025-03-08,0.013958709794328682,0.48623369379325665,0.05016664615016592
2025-03-09,-0.04501942476992372,0.5097430535281285,0.023509359734871893
2025-03-10,-0.03167522970523369,0.3961217481922351,0.11362130533589343
2025-03-11,0.011491082278311896,0.3709056983870637,0.025216049805171392
2025-03-12,-0.0023253719118533594,0.4039988311231931,0.033093132736129405
2025-03-13,-0.01094719230334704,0.44692036615477554,0.042921535031582414
2025-03-14,0.0115267845161015,0.46844077716347926,0.02152041100870372
2025-03-15,0.00711017064311275,0.4912636342390276,0.02282285707554832
2025-03-16,-0.013500358599701785,0.5158142266156992,0.02455059237667162
2025-03-17,0.010787880271340188,0.5201806152008284,0.004366388585129166
2025-03-18,0.0015108304830334484,0.5294538105511292,0.0092731953503008
2025-03-19,0.034219092975378625,0.5453543195361465,0.01590050898501738
2025-03-20,-0.01788571651952255,0.4756535862088164,0.06970073332733012
2025-03-21,-0.004200806862727044,0.48002279640323764,0.004369210194421214
2025-03-22,0.003871373983524273,0.5060732495169554,0.026050453113717786
2025-03-23,0.006652705029533438,0.526373624993308,0.02030037547635255
2025-03-24,0.019075582356877407,0.539819575007009,0.013445950013700969
2025-03-25,-0.002472990675063638,0.5242876653533377,0.015531909653671239
2025-03-26,-0.015558487095727809,0.5408413525609502,0.016553687207612522
2025-03-27,-0.001821469580125202,0.5322366782104881,0.008604674350462083
2025-03-28,-0.029978827062830324,0.5463918275478594,0.014155149337371276
2025-03-29,-0.018001298954250226,0.4898438080686703,0.05654801947918914
2025-03-30,-0.0056955050018039285,0.4903138990430816,0.000470090974411308
