symbol,n_obs,mean_return,ann_vol,VaR_95,VaR_99,GARCH_AIC,GARCH_BIC,in_sample_rmse,correlation,garch_backtest_rmse,garch_backtest_mae,garch_backtest_mse,garch_backtest_direction_accuracy,garch_backtest_n_windows,strategy_observations,strategy_total_return,strategy_annual_return,strategy_annual_volatility,strategy_sharpe_ratio,strategy_sortino_ratio,strategy_max_drawdown,strategy_calmar_ratio,strategy_hit_rate,strategy_average_turnover,strategy_benchmark_total_return,strategy_tracking_error,strategy_information_ratio,strategy_realized_annual_volatility,strategy_target_annual_volatility,strategy_volatility_target_error,strategy_average_leverage,strategy_max_leverage,strategy_transaction_cost_bps,buy_hold_observations,buy_hold_total_return,buy_hold_annual_return,buy_hold_annual_volatility,buy_hold_sharpe_ratio,buy_hold_sortino_ratio,buy_hold_max_drawdown,buy_hold_calmar_ratio,buy_hold_hit_rate
BTC-USD,701,-7.808583553264174e-06,0.4750564932539519,-0.03840216036378451,-0.06133603469365214,3353.3845380111006,3367.163671613528,0.4508782859089661,0.6631653602570008,1.863193893144598,1.4748873641939229,3.4714914834513233,0.29979035639413,478,478,-0.3769739133453329,-0.30323664420222196,0.36090491490507587,-0.840212010639917,-1.1096769404090359,-0.5023065143382714,-0.6036884562440921,0.48535564853556484,0.0373946864993104,-0.41524754425087396,0.14374211117188507,-0.014859612163097223,0.36090491490507587,0.35,0.010904914905075891,0.8336309034458956,1.3623871665583698,10.0,478,-0.41524754425087396,-0.3361648405377773,0.4580704047166531,-0.7338715557179851,-0.9984807583824138,-0.5192138990245949,-0.6474496179114291,0.48535564853556484
ETH-USD,701,-0.0007068222358729009,0.7148084269949114,-0.0577500628793215,-0.0908835533499448,3982.279210681566,3996.0583442839934,0.6800121763576016,0.30701827036651624,3.060072645754333,2.5156962302279124,9.364044597293923,0.32075471698113206,478,478,-0.329672823196707,-0.2631944102438256,0.36145786279786785,-0.7281468667096267,-1.0134976805125935,-0.4139542165396841,-0.6358056029575295,0.49581589958158995,0.025262206239457217,-0.616784855454283,0.3927422253789844,0.3672647707023625,0.36145786279786785,0.35,0.011457862797867868,0.4813794504973784,0.6288252047241799,10.0,478,-0.616784855454283,-0.5192519677037686,0.7468054450888535,-0.695297511712691,-0.9687883189296755,-0.6643676463099951,-0.7815732307070906,0.49581589958158995
